Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
13056	5ey2xUDZTA	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R2C2	2005-09-07 12:48:20.0	2005-09-07 12:49:21.0	2005-09-07 12:49:21.0	2005-09-07 12:49:21.0	61	61		1	0	0	1	Identifying units	2
13516	5ey2xUDZTA	Unit CTA1_14, Section CTA1_14-4	2PTFB18	1	R7C2	2005-10-05 12:31:14.0	2005-10-05 12:31:20.0	2005-10-05 12:31:20.0	2005-10-05 12:31:20.0	6	6		1	0	0	1	Find Y, Simple~~Using simple numbers~~Using small numbers	4~~72~~58
13772	5ey2xUDZTA	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	YGE4X-11	2	xMax	2005-10-12 12:19:47.0	2005-10-12 12:19:51.0	2005-10-12 12:19:51.0	2005-10-12 12:19:51.0	4	4		1	0	0	1		
14059	5ey2xUDZTA	Unit CTA1_15, Section CTA1_15-3	SYS06	1	R5C3	2005-10-21 12:39:39.0	2005-10-21 12:39:40.0		2005-10-21 12:39:46.0	0.7		0.7	0	2	0	0		
14366	5ey2xUDZTA	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE5TRE	1	Point 1.1	2005-11-09 12:31:13.0	2005-11-09 12:31:27.0		2005-11-09 12:32:09.0	56		56	0	0	29	0	Correctly placing points	5
14586	5ey2xUDZTA	Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2	EG-FACTOR28	1	c-factor-1	2005-11-18 12:26:54.0	2005-11-18 12:28:02.0	2005-11-18 12:28:02.0	2005-11-18 12:28:02.0	68	68		1	0	0	1		
14993	5ey2xUDZTA	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR17	1	b-factor-node	2005-12-07 12:23:12.0	2005-12-07 12:23:14.0	2005-12-07 12:23:14.0	2005-12-07 12:23:14.0	2	2		1	0	0	1		
15312	5ey2xUDZTA	Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1	NEWQUAD3TRE	1	-(16)(x^2)+48x+0 = 20	2006-01-04 12:24:19.0	2006-01-04 12:24:28.0	2006-01-04 12:24:28.0	2006-01-04 12:24:28.0	9	9		1	0	0	1		
15389	5ey2xUDZTA	Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-2	EG-EPS07	2	constant factors1R1	2006-01-04 12:34:45.0	2006-01-04 12:34:46.0	2006-01-04 12:34:46.0	2006-01-04 12:34:46.0	1	1		1	0	0	1		
15799	5ey2xUDZTA	Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3	EG-EQS02	4	row3-N-x	2006-01-13 12:31:12.0	2006-01-13 12:31:13.0	2006-01-13 12:31:41.0	2006-01-13 12:31:41.0	12.5		12.5	0	2	0	1		
16026	5ey2xUDZTA	Unit CTA1_20, Section CTA1_20-2	1PTFB10	1	R2C1	2006-02-09 12:26:24.0	2006-02-09 12:26:29.0	2006-02-09 12:26:29.0	2006-02-09 12:26:29.0	5	5		1	0	0	1	Identifying units	127
16348	5ey2xUDZTA	Unit CTA1_21, Section CTA1_21-3	FEB07	1	yMax	2006-02-22 12:27:56.0	2006-02-22 12:28:03.0	2006-02-22 12:28:03.0	2006-02-22 12:28:03.0	7	7		1	0	0	2	Changing axis bounds	70
16525	5ey2xUDZTA	Unit CTA1_22, Section CTA1_22-1	SYSFB07	1	R5C1	2006-03-01 12:35:31.0	2006-03-01 12:35:39.0	2006-03-01 12:35:39.0	2006-03-01 12:35:39.0	8	8		1	0	0	1	Using large numbers~~Find X, positive slope~~Using difficult numbers	117~~56~~90
16620	5ey2xUDZTA	Unit ES_06, Section ES_06-1	EG63A	3	-466.84(x-618.18)-611.16 = -454.63-730.47x*(-482/(-554x)-442.23)	2006-03-03 12:43:17.0	2006-03-03 12:43:22.0	2006-03-03 12:43:22.0	2006-03-03 12:43:22.0	5	5		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	22
16704	5ey2xUDZTA	Unit CTA1_24, Section CTA1_24-1	PERCENT07	1	R7C1	2006-03-08 12:23:35.0	2006-03-08 12:23:47.0	2006-03-08 12:25:25.0	2006-03-08 12:25:25.0	65		65	0	4	3	1	Entering a given	359
16869	5ey2xUDZTA	Unit CTA1_25, Section CTA1_25-1	REAL36	1	3X = 1800	2006-03-10 12:43:48.0	2006-03-10 12:43:52.0	2006-03-10 12:43:52.0	2006-03-10 12:43:52.0	4	4		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	106~~189
17093	5ey2xUDZTA	Unit CTA1_26, Section CTA1_26-1	PERCENT02	1	R2C1	2006-03-17 12:22:06.0	2006-03-17 12:22:08.0	2006-03-17 12:22:08.0	2006-03-17 12:22:08.0	2	2		1	0	0	1	Identifying units	216
17334	5ey2xUDZTA	Unit CTA1_27, Section CTA1_27-1	PERCENT10	2	R7C1	2006-03-29 12:18:25.0	2006-03-29 12:19:22.0	2006-03-29 12:20:15.0	2006-03-29 12:20:15.0	67		67	0	2	0	1	Using difficult numbers~~Using small numbers~~Find X, Simple	159~~260~~29
18566	5ey2xUDZTA	Unit QuadLinearFuncTrans, Section QLFuncTrans9	TRANSFORMN001	2	ParentDescChoice	2006-05-12 09:52:09.0	2006-05-12 09:52:11.0	2006-05-12 09:52:13.0	2006-05-12 09:52:13.0	4		4	0	1	0	1	Identify Parent Description	123
19200	6W08a98ZQV	Unit ES_02, Section ES_02-8	EG41	2	FinalAnswer	2005-09-16 12:34:13.0	2005-09-16 12:34:27.0	2005-09-16 12:34:27.0	2005-09-16 12:34:27.0	14	14		1	0	0	1	perform-mult-sp	9
19384	6W08a98ZQV	Unit CTA1_13, Section CTA1_13-1	PROP10	1	R1C2	2005-10-07 12:31:51.0	2005-10-07 12:32:11.0	2005-10-07 12:32:11.0	2005-10-07 12:32:11.0	20	20		1	0	0	1		
19835	6W08a98ZQV	Unit CTA1_06, Section CTA1_06-3	FOR05	2	XLabel	2005-11-23 12:30:56.0	2005-11-23 12:31:37.0	2005-11-23 12:33:24.0	2005-11-23 12:33:24.0	93		93	0	2	0	1	Labelling the axes	33
20340	6W08a98ZQV	Unit ES_03, Section ES_03-6	EG52A	1	constant termsR2	2006-02-03 12:46:42.0	2006-02-03 12:46:45.0	2006-02-03 12:46:45.0	2006-02-03 12:46:45.0	3	3		1	0	0	1		
20727	6W08a98ZQV	Unit CTA1_08, Section CTA1_08-3	REAL37	1	Formula 1 Coeff 0	2006-03-24 12:38:33.0	2006-03-24 12:38:36.0	2006-03-24 12:38:36.0	2006-03-24 12:38:36.0	3	3		1	0	0	1	Setting the y-intercept	19
21074	6W08a98ZQV	Unit ES_04, Section ES_04-14	LIT33A	1	17/c = c*x/c	2006-05-03 12:38:28.0	2006-05-03 12:38:30.0	2006-05-03 12:38:30.0	2006-05-03 12:38:36.0	8	8		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	63
21263	6W08a98ZQV	Unit CTA1_10, Section CTA1_10-2	DIST03_SP	3	R4C1	2006-06-01 12:34:51.0	2006-06-01 12:36:41.0	2006-06-01 12:37:28.0	2006-06-01 12:37:28.0	116		116	0	1	0	1	Entering a given	177
21616	8o0mJnIpFH	Unit CTA1_06, Section CTA1_06-3	JAN05	2	R5C1	2005-09-22 10:52:57.0	2005-09-22 10:53:08.0	2005-09-22 10:53:16.0	2005-09-22 10:53:16.0	19		19	0	1	0	1	Using simple numbers~~Using large numbers~~Find X, positive slope	24~~15~~18
22178	8o0mJnIpFH	Unit ES_03, Section ES_03-6	EG51A	2	constant termsR2	2005-10-28 12:24:11.0	2005-10-28 12:27:27.0	2005-10-28 12:27:27.0	2005-10-28 12:27:27.0	196	196		1	0	0	1		
22320	8o0mJnIpFH	Unit CTA1_08, Section CTA1_08-2	FEB03	1	yMin	2005-11-04 12:04:31.0	2005-11-04 12:04:37.0	2005-11-04 12:04:37.0	2005-11-04 12:04:37.0	6	6		1	0	0	1	Changing axis bounds	98
22862	8o0mJnIpFH	Unit ES_04, Section ES_04-15	LIT58	1	7+y*(b+n) = r+f	2006-01-06 12:31:06.0	2006-01-06 12:31:10.0	2006-01-06 12:31:10.0	2006-01-06 12:31:10.0	4	4		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	70
23277	8o0mJnIpFH	Unit CTA1_10, Section CTA1_10-5	DISTFB08_SP	1	R3C2	2006-03-31 12:37:14.0	2006-03-31 12:38:29.0	2006-03-31 12:39:49.0	2006-03-31 12:39:49.0	155		155	0	4	8	1	Using simple numbers~~Write expression, positive slope~~Using large numbers	78~~45~~56
23522	8o0mJnIpFH	Unit ES_07, Section ES_07-4	LIT63A	1	n*t-h*r = c*j+z*n		2006-05-10 12:43:04.0	2006-05-10 12:43:30.0	2006-05-10 12:43:30.0				0	0	3	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	228
23621	8o0mJnIpFH	Unit CTA1_12, Section CTA1_12-2	SYS03	1	R3C3	2006-05-25 12:50:18.0	2006-05-25 12:50:37.0	2006-05-25 12:51:10.0	2006-05-25 12:51:10.0	52		52	0	6	0	1	Using simple numbers~~Using small numbers~~Write expression, positive slope	94~~104~~55
23660	8rsfNQdio8	Unit CTA1_01, Section CTA1_01-2	BH1T24B	1	R1C1	2005-09-07 12:51:33.0	2005-09-07 12:51:43.0	2005-09-07 12:51:43.0	2005-09-07 12:51:43.0	10	10		1	0	0	1		
23901	8rsfNQdio8	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	YGT5X+12	1	GraphButton1	2005-09-14 12:47:16.0	2005-09-14 12:47:17.0	2005-09-14 12:47:17.0	2005-09-14 12:47:17.0	1	1		1	0	0	1		
24310	8rsfNQdio8	Unit CTA1_15, Section CTA1_15-3	SYS06	1	R3C3	2005-09-23 12:47:01.0	2005-09-23 12:47:41.0	2005-09-23 12:47:41.0	2005-09-23 12:47:41.0	40	40		1	0	0	1	Using simple numbers~~Write expression, positive slope~~Using large numbers	35~~16~~20
24525	8rsfNQdio8	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE7TRE	1	xMin	2005-10-05 12:47:22.0	2005-10-05 12:48:01.0	2005-10-05 12:48:01.0	2005-10-05 12:48:56.0	60	60		1	0	0	2	Changing axis bounds	51
24748	8rsfNQdio8	Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2	EG-FACTOR21	1	c-factor-1	2005-10-14 12:49:01.0	2005-10-14 12:49:04.0	2005-10-14 12:49:04.0	2005-10-14 12:49:31.0	6.5	6.5		1	0	0	2		
